,,Sub003:LFHD,,,Sub003:RFHD,,,Sub003:LBHD,,,Sub003:RBHD,,,Sub003:C7,,,Sub003:T10,,,Sub003:CLAV,,,Sub003:STRN,,,Sub003:RBAK,,,Sub003:LSHO,,,Sub003:LUPA,,,Sub003:LELB,,,Sub003:LFRM,,,Sub003:LWRA,,,Sub003:LWRB,,,Sub003:LFIN,,,Sub003:RSHO,,,Sub003:RUPA,,,Sub003:RELB,,,Sub003:RFRM,,,Sub003:RWRA,,,Sub003:RWRB,,,Sub003:RFIN,,,Sub003:LASI,,,Sub003:RASI,,,Sub003:LPSI,,,Sub003:RPSI,,,Sub003:LTHI,,,Sub003:LKNE,,,Sub003:LTIB,,,Sub003:LANK,,,Sub003:LHEE,,,Sub003:LTOE,,,Sub003:RTHI,,,Sub003:RKNE,,,Sub003:RTIB,,,Sub003:RANK,,,Sub003:RHEE,,,Sub003:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,317.032,261.918,1707.47,163.765,228.339,1719.21,303.271,375.763,1695.71,151.15,352.759,1711.66,219.337,407.585,1520.34,231.689,476.719,1240.96,234.766,272.236,1432.15,243.814,240.332,1262.17,146.196,464.295,1432.98,425.809,362.372,1477.69,476.326,364.636,1232.2,489.572,385.067,1100.84,497.502,305.344,964.779,467.841,259.477,857.889,503.413,323.804,845.081,507.958,251.234,777.19,60.6852,370.172,1481.04,-4.82217,350.769,1291.17,-22.1759,393.815,1091.68,-49.8115,336.727,1015.48,-13.7885,259.592,846.708,-48.9134,324.393,833.392,-53.9635,248.281,765.574,367.4,241.971,993.674,96.0954,228.203,996.716,256.706,420.733,1018.66,176.075,416.172,1017.96,416.671,331.196,666.709,416.575,381.591,508.597,408.954,409.633,253.46,376.176,390.453,70.9959,322.916,432.711,59.8897,370.811,226.995,39.3431,43.2057,274.613,726.063,50.8637,349.806,501.601,37.5971,375.192,388.73,82.8754,382.882,69.125,142.967,426.38,53.9709,86.5083,215.944,34.4932
11,0,316.944,261.937,1707.47,163.689,228.341,1719.18,303.259,375.621,1695.62,151.095,352.746,1711.66,219.308,407.467,1520.26,231.618,476.719,1240.96,234.723,272.225,1432.1,243.765,240.444,1262.09,146.13,464.293,1432.95,425.786,362.401,1477.72,476.264,364.777,1232.06,489.426,384.923,1100.93,497.421,305.387,964.75,467.743,259.488,857.863,503.345,323.876,845.065,507.911,251.295,777.182,60.6431,370.24,1481.04,-4.86222,350.843,1291.15,-22.244,393.8,1091.64,-49.8551,336.718,1015.46,-14.0935,259.855,846.632,-48.9627,324.347,833.357,-54.1074,248.393,765.526,367.345,241.955,993.709,96.0354,228.21,996.701,256.67,420.701,1018.63,176.065,416.212,1017.93,416.662,331.143,666.693,416.464,381.666,508.594,408.95,409.572,253.454,376.237,390.514,71.0746,322.787,432.782,60.1886,370.817,226.973,39.365,43.1498,274.549,726.073,50.8172,349.755,501.568,37.5824,375.164,388.732,82.876,382.945,69.1394,142.97,426.352,53.9884,86.5043,215.9,34.4728
12,0,316.9,261.909,1707.45,163.869,228.856,1719.01,302.781,375.841,1695.73,150.696,352.629,1711.67,218.626,407.14,1520.25,231.295,476.673,1240.94,234.724,272.227,1432.09,243.762,240.518,1262.09,145.718,464.167,1432.89,425.566,362.437,1477.69,476.076,364.642,1232.12,489.122,384.978,1100.89,497.319,305.419,964.718,467.688,259.594,857.845,503.125,323.932,845.049,507.846,251.359,777.154,59.7548,370.106,1481.5,-4.72026,350.751,1291.12,-22.5641,393.71,1091.61,-50.154,336.804,1015.43,-14.1388,259.864,846.579,-49.1528,324.292,833.282,-54.1742,248.438,765.525,367.314,242.011,993.709,95.9903,228.195,996.718,255.786,420.384,1018.46,175.646,416.066,1017.88,416.516,331.056,666.693,416.566,381.65,508.803,408.925,409.566,253.419,376.111,390.458,70.9497,322.664,432.643,59.9357,370.833,227.027,39.3574,43.1723,274.533,726.057,50.6637,349.856,501.522,37.302,375.168,388.778,82.7002,382.914,69.1185,142.859,426.405,53.9409,86.4019,216.028,34.4855
13,0,316.859,261.852,1707.49,163.605,228.409,1719.12,303.141,375.707,1695.72,150.967,352.741,1711.64,219.375,408.716,1521.13,231.477,476.832,1240.96,234.71,272.271,1432.08,243.846,240.949,1261.91,146.071,464.364,1432.93,425.716,362.456,1477.69,476.123,364.677,1232.14,489.312,385.009,1100.91,497.26,305.483,964.713,467.578,259.635,857.83,503.175,323.994,845.058,507.795,251.465,777.135,60.5701,370.236,1481.01,-4.89477,350.889,1291.08,-22.3405,393.857,1091.6,-49.9414,336.716,1015.38,-14.14,259.788,846.587,-49.0685,324.269,833.293,-54.0778,248.172,765.526,367.279,241.99,993.749,95.9554,228.192,996.713,256.782,422.868,1019.29,175.923,416.278,1017.88,416.719,330.962,666.922,416.609,381.527,508.773,408.964,409.481,253.463,376.271,390.498,71.1753,322.804,432.794,60.2272,370.829,226.992,39.3454,43.0882,274.494,726.077,50.7875,349.728,501.575,37.5545,375.132,388.726,82.8439,382.945,69.1104,142.96,426.382,53.9791,86.5173,215.939,34.4804
14,0,316.783,261.853,1707.48,163.552,228.414,1719.09,303.121,375.638,1695.7,150.921,352.735,1711.61,219.279,408.051,1520.71,231.462,476.851,1240.94,234.688,272.289,1432.05,243.841,240.999,1261.88,146.064,464.352,1432.92,425.695,362.445,1477.69,476.101,364.831,1232.08,489.261,385.055,1100.91,497.2,305.537,964.741,467.514,259.725,857.815,503.11,324.087,845.044,507.716,251.536,777.115,60.1458,370.176,1481.41,-4.93306,350.914,1291.09,-22.3881,393.858,1091.56,-50.0006,336.772,1015.37,-14.1657,259.748,846.592,-49.0987,324.306,833.286,-54.219,248.315,765.507,367.241,242.039,993.765,95.9099,228.216,996.732,256.6,421.273,1018.71,175.881,416.32,1017.86,416.57,330.94,666.748,416.47,381.446,508.584,408.955,409.417,253.457,376.226,390.38,71.0091,322.817,432.726,60.0874,370.841,227.008,39.347,43.0531,274.464,726.084,50.7792,349.675,501.588,37.5447,375.136,388.71,82.8706,382.905,69.1513,142.935,426.348,53.9429,86.5399,215.957,34.5829
15,0,316.71,261.818,1707.5,163.62,228.833,1718.9,303.059,375.691,1695.76,150.87,352.696,1711.55,219.205,408.116,1520.71,231.393,476.905,1240.94,234.653,272.313,1432.02,243.788,241.038,1261.86,145.995,464.341,1432.91,425.66,362.503,1477.71,476.009,364.787,1232.13,489.255,385.211,1100.86,497.135,305.556,964.723,467.444,259.811,857.802,503.04,324.151,845.052,507.615,251.606,777.094,60.1023,370.144,1481.39,-4.98167,350.909,1291.07,-22.4588,394.212,1091.63,-50.0399,336.771,1015.38,-14.2422,259.731,846.614,-49.1229,324.258,833.268,-54.2399,248.291,765.499,367.189,242.049,993.762,95.8484,228.245,996.746,256.555,421.313,1018.73,175.834,416.309,1017.85,416.627,330.837,666.917,416.439,381.403,508.617,408.956,409.344,253.442,376.219,390.354,70.9907,322.816,432.754,60.2365,370.847,227.006,39.3248,43.0171,274.457,726.071,50.7426,349.638,501.582,37.5258,375.061,388.698,82.8364,383.038,69.1165,142.945,426.38,53.96,86.521,215.951,34.5689
16,0,316.656,261.785,1707.5,163.357,228.375,1719.02,303.034,375.605,1695.79,150.804,352.779,1711.55,219.188,408.132,1520.72,231.374,476.933,1240.95,234.619,272.338,1432,243.661,240.766,1261.95,145.954,464.438,1432.95,425.61,362.531,1477.72,475.982,364.832,1232.09,489.212,385.242,1100.81,497.044,305.608,964.699,467.351,259.854,857.788,502.953,324.202,845.047,507.507,251.701,777.062,60.0882,370.145,1481.38,-5.00725,350.939,1291.07,-22.514,394.209,1091.61,-50.0982,336.781,1015.38,-14.2618,259.778,846.618,-49.133,324.258,833.273,-54.2591,248.232,765.551,367.138,242.038,993.801,95.7847,228.267,996.764,256.474,421.293,1018.72,175.793,416.335,1017.85,416.596,330.782,666.932,416.576,381.368,508.802,408.907,409.144,253.558,376.249,390.412,71.1448,322.841,432.701,60.1383,370.867,226.994,39.423,42.9635,274.474,726.075,50.7036,349.604,501.559,37.5154,375.06,388.704,82.862,382.976,69.0981,142.922,426.376,53.9477,86.5123,215.951,34.5076
17,0,316.638,261.717,1707.52,163.282,228.352,1719,302.964,375.624,1695.79,150.765,352.69,1711.52,219.165,407.393,1520.26,231.365,476.937,1240.92,234.587,272.331,1431.98,243.644,240.823,1261.95,145.912,464.432,1432.95,425.615,362.536,1477.75,475.946,364.972,1232.05,489.091,385.129,1100.89,496.985,305.652,964.673,467.239,259.883,857.762,502.881,324.271,845.026,507.418,251.776,777.017,60.025,370.177,1481.4,-5.03301,350.941,1291.06,-22.5589,394.233,1091.62,-50.1019,336.78,1015.38,-14.2878,259.773,846.601,-49.1756,324.211,833.266,-54.1935,248.013,765.579,367.081,242.032,993.822,95.7499,228.268,996.771,256.655,421.324,1018.66,175.729,416.287,1017.79,416.461,330.781,666.768,416.432,381.263,508.592,408.912,409.06,253.531,376.241,390.407,71.1833,322.887,432.594,59.9961,370.875,227.013,39.373,42.7738,274.802,726.023,50.6835,349.61,501.57,37.4803,375.026,388.698,82.9133,382.475,69.2654,142.946,426.365,53.9681,86.5059,215.9,34.4475
18,0,316.536,261.692,1707.51,163.167,228.381,1718.98,302.934,375.59,1695.82,150.702,352.711,1711.53,219.071,407.431,1520.21,231.311,477.021,1240.96,234.551,272.345,1431.97,243.594,240.838,1261.94,145.865,464.501,1432.95,425.56,362.627,1477.72,475.882,364.895,1232.09,489.114,385.312,1100.79,496.891,305.702,964.658,467.192,259.988,857.725,502.789,324.338,845.006,507.308,251.858,776.964,60.2817,370.31,1481.04,-5.07375,350.946,1291.08,-22.5693,394.254,1091.62,-50.1311,336.756,1015.4,-14.0958,259.489,846.72,-49.1747,324.196,833.273,-54.335,248.135,765.593,367.042,242.047,993.836,95.7116,228.297,996.788,256.706,421.966,1018.82,175.697,416.37,1017.8,416.408,330.731,666.785,416.392,381.316,508.691,408.886,409.013,253.545,376.188,390.359,70.9907,322.905,432.566,60.0136,370.9,227.051,39.369,42.9046,274.457,726.087,50.6652,349.586,501.562,37.4733,375.007,388.704,82.895,382.491,69.2565,142.933,426.377,53.9495,86.5099,215.933,34.4521
19,0,316.51,261.654,1707.52,163.088,228.374,1718.95,302.858,375.564,1695.85,150.686,352.745,1711.51,219.096,408.026,1520.58,231.324,477.039,1240.96,234.525,272.396,1431.97,243.632,241.223,1261.79,145.84,464.529,1432.96,425.499,362.601,1477.69,475.854,364.974,1232.06,489.009,385.363,1100.8,496.824,305.741,964.618,467.104,260.004,857.707,502.721,324.383,844.969,507.199,251.925,776.915,60.2603,370.252,1481.05,-5.08912,351.14,1291.08,-22.645,394.274,1091.62,-50.1698,336.763,1015.39,-14.0835,259.513,846.703,-49.2337,324.191,833.289,-54.2756,247.941,765.623,366.964,242.033,993.857,95.6719,228.326,996.807,256.661,421.994,1018.8,175.669,416.361,1017.77,416.391,330.687,666.763,416.369,381.199,508.622,408.873,408.966,253.54,376.246,390.432,71.0707,322.866,432.559,60.0336,370.884,227.044,39.3859,42.8616,274.479,726.088,50.6379,349.606,501.544,37.4888,375.028,388.689,82.9216,382.484,69.2309,142.947,426.387,53.9777,86.5122,215.932,34.478
