,,Sub003:LFHD,,,Sub003:RFHD,,,Sub003:LBHD,,,Sub003:RBHD,,,Sub003:C7,,,Sub003:T10,,,Sub003:CLAV,,,Sub003:STRN,,,Sub003:RBAK,,,Sub003:LSHO,,,Sub003:LUPA,,,Sub003:LELB,,,Sub003:LFRM,,,Sub003:LWRA,,,Sub003:LWRB,,,Sub003:LFIN,,,Sub003:RSHO,,,Sub003:RUPA,,,Sub003:RELB,,,Sub003:RFRM,,,Sub003:RWRA,,,Sub003:RWRB,,,Sub003:RFIN,,,Sub003:LASI,,,Sub003:RASI,,,Sub003:LPSI,,,Sub003:RPSI,,,Sub003:LTHI,,,Sub003:LKNE,,,Sub003:LTIB,,,Sub003:LANK,,,Sub003:LHEE,,,Sub003:LTOE,,,Sub003:RTHI,,,Sub003:RKNE,,,Sub003:RTIB,,,Sub003:RANK,,,Sub003:RHEE,,,Sub003:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,310.861,224.265,1718.06,154.051,203.728,1723.51,306.872,338.556,1706.45,152.548,328.71,1716.28,227.273,379.268,1525.15,243.249,443.385,1245.07,239.389,243.179,1439.56,250.553,207.811,1269.45,,,,155.5,433.4,1434.42,489.982,324.491,1239.05,506.859,351.243,1109.54,510.095,278.718,968.989,520.214,302.779,850.629,477.776,242.479,858.573,517.957,236.501,776.684,65.9547,342.951,1483.54,-0.332574,323.524,1294.32,-20.7596,367.834,1096.6,-50.5005,314.093,1019.42,-19.301,245.044,845.454,-55.2875,310.045,836.515,-61.9124,238.564,764.05,374.757,210.188,1005.14,106.472,201.84,999.978,268.822,393.348,1021.08,188.011,388.491,1018.1,422.362,279.857,671.24,418.426,316.501,509.199,416.285,347.494,254.884,387.087,338.083,71.4678,335.764,383.98,60.6382,373.767,177.305,39.4286,54.3576,244.039,726.714,64.0298,316.328,502.023,50.8798,341.946,389.388,93.2105,351.274,69.1437,134.798,396.726,39.1473,92.4751,184.91,34.7437
11,0,311.046,224.196,1718.03,154.254,203.691,1723.53,307.136,338.33,1706.28,152.824,328.14,1716.18,227.396,379.201,1525.12,243.257,443.299,1245.08,239.467,243.081,1439.53,250.543,207.736,1269.44,,,,155.573,433.36,1434.47,490.025,324.47,1238.84,506.8,350.855,1109.51,509.978,278.228,968.984,519.929,302.004,850.566,477.518,241.758,858.678,517.65,235.603,776.766,66.4498,342.967,1483.11,-0.273327,323.379,1294.4,-20.7271,367.596,1096.63,-50.4402,313.647,1019.53,-19.2669,245.14,845.442,-55.1007,309.272,836.629,-61.6711,237.475,764.352,374.726,210.124,1005.12,106.463,201.787,999.948,268.66,393.295,1021.09,188.003,388.409,1018.09,422.334,279.801,671.23,418.403,316.445,509.207,416.255,347.453,254.853,387.028,338.049,71.4863,335.801,383.942,60.6217,373.748,177.263,39.451,54.3669,244.02,726.679,63.9693,316.326,502.006,50.8672,341.959,389.399,93.209,351.26,69.2103,134.669,397.243,38.9809,92.4554,184.888,34.7353
12,0,311.263,224.142,1718.02,154.445,203.614,1723.59,307.327,338.471,1706.28,152.938,328.569,1716.34,227.477,379.181,1525.12,243.262,443.225,1245.06,239.51,243.027,1439.5,250.534,207.395,1269.63,,,,155.641,433.417,1434.56,490.034,324.263,1238.74,506.914,350.677,1109.31,509.837,277.653,968.983,519.692,301.217,850.501,477.306,240.77,858.899,517.357,234.58,776.878,66.508,343.124,1483.26,-0.194512,323.278,1294.49,-20.9717,367.123,1096.57,-50.3888,313.271,1019.64,-19.2679,244.734,845.575,-54.8997,308.484,836.711,-61.2895,236.3,764.66,374.679,210.038,1005.11,106.396,201.73,999.955,268.657,393.212,1021.11,187.946,388.365,1018.09,422.285,279.71,671.197,418.392,316.433,509.216,416.225,347.466,254.87,387.066,337.996,71.468,335.774,383.96,60.6365,373.734,177.245,39.4201,54.3689,243.966,726.66,63.9722,316.241,502.001,50.8703,341.943,389.37,93.2063,351.256,69.2245,134.85,396.706,39.14,92.4573,184.892,34.7217
13,0,311.486,224.205,1717.94,154.641,203.609,1723.67,307.518,338.439,1706.16,153.129,328.544,1716.33,227.645,379.054,1525.11,243.271,443.181,1245.07,239.58,242.962,1439.49,250.504,207.319,1269.59,,,,155.785,434.37,1435.06,490.033,324.107,1238.64,506.85,350.207,1109.26,509.711,277.063,968.969,519.439,300.373,850.416,477.057,239.879,859.046,517.053,233.547,776.972,66.5682,343.333,1483.45,-0.13329,323.204,1294.56,-20.7187,367.179,1096.69,-50.3069,312.913,1019.73,-18.9211,243.009,846.208,-54.6813,307.608,836.834,-60.9614,235.271,765.023,374.634,209.97,1005.1,106.367,201.663,999.92,268.622,393.134,1021.11,187.945,388.274,1018.1,422.257,279.532,671.23,418.392,316.469,509.218,416.205,347.459,254.858,387.011,338.022,71.501,335.761,383.951,60.6058,373.72,177.18,39.4715,54.3324,243.96,726.667,63.9271,316.339,501.945,50.8361,341.935,389.369,93.2005,351.3,69.1875,134.856,396.68,39.1548,92.4902,184.866,34.7744
14,0,311.673,224.17,1717.98,154.903,203.615,1723.75,307.773,338.387,1706.03,153.304,328.471,1716.31,227.733,378.355,1524.7,243.257,443.129,1245.06,239.634,242.904,1439.46,250.509,207.311,1269.56,,,,155.8,433.247,1434.53,490.1,323.841,1238.53,506.976,349.98,1109.02,509.569,276.377,968.942,519.184,299.435,850.344,476.94,239.017,859.201,516.715,232.401,777.095,66.237,342.994,1483.93,-0.0802704,323.318,1294.57,-20.718,366.972,1096.68,-50.26,312.498,1019.84,-18.8154,242.803,846.294,-54.4486,306.712,836.961,-60.832,234.48,765.29,374.596,209.92,1005.07,106.335,201.625,999.874,268.613,393.016,1021.08,187.916,388.237,1018.11,422.099,279.344,671.104,418.364,316.494,509.223,416.21,347.528,254.843,386.951,338.069,71.4945,335.741,383.958,60.5997,373.714,177.182,39.459,54.3219,243.961,726.633,63.9272,316.253,501.948,50.7963,341.952,389.343,93.2326,351.18,69.2222,134.802,397.132,38.9606,92.4585,184.858,34.7426
15,0,311.883,224.241,1717.97,155.098,203.659,1723.82,307.911,338.504,1705.98,153.474,328.463,1716.29,227.875,378.309,1524.69,243.291,443.084,1245.04,239.697,242.831,1439.46,250.476,207.215,1269.51,,,,155.879,433.32,1434.59,490.119,323.613,1238.46,506.967,349.473,1108.94,509.432,275.692,968.934,518.887,298.454,850.279,476.689,238.07,859.327,516.517,231.182,777.263,66.9737,343.866,1483.41,-0.0659539,323.185,1294.62,-20.7228,366.802,1096.69,-50.1939,312.069,1019.91,-18.6368,241.857,846.612,-54.2282,305.734,837.052,-60.4755,232.94,765.632,374.57,209.821,1005.05,106.268,201.528,999.871,268.601,392.992,1021.09,187.887,388.124,1018.08,421.973,279.029,671.029,418.376,316.486,509.205,416.2,347.555,254.822,386.957,338.091,71.4804,335.709,383.98,60.6175,373.684,177.206,39.403,54.2869,243.911,726.635,63.9345,316.266,501.934,50.7957,341.968,389.33,93.2228,351.357,69.2076,134.925,396.712,39.1221,92.4939,184.856,34.7274
16,0,312.063,224.294,1717.96,155.352,203.7,1723.87,308.08,338.5,1705.86,153.638,328.505,1716.28,227.997,378.252,1524.67,243.322,442.981,1245.02,239.725,242.748,1439.46,250.453,207.097,1269.51,,,,155.939,433.295,1434.59,490.178,323.413,1238.35,507.047,349.196,1108.74,509.15,275,968.89,518.67,297.438,850.242,476.336,237.008,859.447,516.191,229.921,777.397,66.4142,342.943,1484.01,-0.0230297,323.037,1294.69,-20.7819,366.585,1096.68,-50.1504,311.649,1020.03,-18.2418,240.416,847.21,-54.0693,304.684,837.156,-60.1641,231.751,766.018,374.508,209.738,1005.03,106.255,201.509,999.837,268.524,392.927,1021.08,187.865,388.11,1018.1,421.816,278.68,670.946,418.344,316.582,509.184,416.199,347.555,254.833,386.99,338.062,71.4917,335.708,383.97,60.5765,373.673,177.132,39.3842,54.4804,243.889,726.574,63.9142,316.279,501.907,50.781,341.948,389.316,93.1814,351.366,69.2128,134.759,397.148,38.9829,92.4959,184.879,34.735
17,0,312.33,224.37,1717.95,155.575,203.761,1723.97,308.258,338.542,1705.77,153.829,328.575,1716.27,228.096,378.231,1524.67,243.335,442.958,1244.99,239.781,242.693,1439.42,250.473,207.051,1269.51,,,,155.989,432.653,1434.33,490.232,323.102,1238.24,507.124,348.781,1108.6,509.118,274.173,968.951,518.415,296.343,850.192,475.992,235.967,859.601,515.779,228.658,777.539,66.4795,342.999,1484.1,0.0257532,322.887,1294.76,-20.7727,366.004,1096.61,-50.0888,311.073,1020.14,-18.1655,239.933,847.327,-53.896,303.636,837.271,-59.9087,230.441,766.365,374.491,209.698,1004.99,106.18,201.383,999.832,268.558,392.793,1021.09,187.79,388.026,1018.09,421.646,278.332,670.924,418.352,316.606,509.214,416.191,347.621,254.812,386.978,338.06,71.5032,335.747,383.996,60.5422,373.676,177.157,39.4275,54.4188,243.89,726.57,63.831,316.272,501.908,50.7551,341.95,389.312,93.3267,350.78,69.2226,134.924,396.687,39.0966,92.4742,184.849,34.6935
18,0,312.471,224.439,1717.97,155.769,203.808,1724.07,308.409,338.657,1705.74,153.994,328.628,1716.3,228.213,378.212,1524.65,243.347,442.882,1244.98,239.858,242.678,1439.43,250.456,206.912,1269.51,,,,156.035,432.908,1434.54,490.243,322.895,1238.16,507.161,348.36,1108.46,508.97,273.408,968.967,518.16,295.21,850.148,475.746,234.866,859.788,515.438,227.298,777.713,66.8584,343.282,1483.92,0.0503597,322.752,1294.85,-20.7659,365.733,1096.59,-50.0511,310.561,1020.26,-17.9661,238.939,847.716,-53.6508,302.569,837.452,-59.6109,229.078,766.774,374.436,209.563,1004.97,106.144,201.334,999.817,268.519,392.741,1021.05,187.806,387.903,1018.08,421.692,278.553,671.132,418.384,316.599,509.248,416.222,347.618,254.83,386.949,338.139,71.5334,335.732,383.989,60.5676,373.637,177.145,39.4279,54.373,243.922,726.559,63.838,316.289,501.874,50.7267,341.954,389.303,93.2632,351.07,69.146,134.917,396.688,39.1317,92.4795,184.846,34.7233
19,0,312.664,224.561,1717.97,155.996,203.926,1724.15,308.549,338.758,1705.68,154.193,328.734,1716.29,228.303,378.147,1524.62,243.34,442.818,1244.95,239.928,242.662,1439.41,250.52,206.893,1269.54,,,,156.114,432.973,1434.58,490.278,322.618,1238.03,507.219,347.896,1108.31,508.847,272.552,969.002,517.918,294.055,850.098,475.623,233.779,859.952,515.112,225.876,777.901,66.7184,342.492,1484.01,0.0641725,322.369,1294.95,-20.8734,365.85,1096.66,-50.0454,310.024,1020.37,-17.7997,237.53,848.259,-53.4704,301.428,837.607,-59.3144,227.682,767.19,374.409,209.523,1004.9,106.095,201.27,999.804,268.463,392.648,1021.07,187.732,387.806,1018.09,421.516,278.21,671.055,418.377,316.603,509.24,416.227,347.633,254.83,386.997,338.072,71.5231,335.711,383.974,60.5321,373.646,177.143,39.4198,54.3469,243.813,726.557,63.8042,316.253,501.905,50.7058,341.979,389.305,93.2397,351.035,69.2221,134.919,396.688,39.132,92.5004,184.823,34.7901
