
Trajectories
120
,,Sub003:LFHD,,,Sub003:RFHD,,,Sub003:LBHD,,,Sub003:RBHD,,,Sub003:C7,,,Sub003:T10,,,Sub003:CLAV,,,Sub003:STRN,,,Sub003:RBAK,,,Sub003:LSHO,,,Sub003:LUPA,,,Sub003:LELB,,,Sub003:LFRM,,,Sub003:LWRA,,,Sub003:LWRB,,,Sub003:LFIN,,,Sub003:RSHO,,,Sub003:RUPA,,,Sub003:RELB,,,Sub003:RFRM,,,Sub003:RWRA,,,Sub003:RWRB,,,Sub003:RFIN,,,Sub003:LASI,,,Sub003:RASI,,,Sub003:LPSI,,,Sub003:RPSI,,,Sub003:LTHI,,,Sub003:LKNE,,,Sub003:LTIB,,,Sub003:LANK,,,Sub003:LHEE,,,Sub003:LTOE,,,Sub003:RTHI,,,Sub003:RKNE,,,Sub003:RTIB,,,Sub003:RANK,,,Sub003:RHEE,,,Sub003:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
2592,0,300.578,312.937,1715.26,147.41,275.55,1719.9,283.96,427.009,1708.46,131.99,399.668,1717.57,214.526,445.9,1518.31,,,,227.664,494.136,1236.55,235.017,257.465,1274.01,138.542,492.45,1425.85,421.174,379.027,1477.96,476.369,358.34,1232.85,495.962,368.631,1101.81,484.248,283.13,969.197,443.375,242.28,863.756,495.098,293.427,848.745,479.679,220.669,782.66,51.1045,400.765,1475.09,-14.5817,365.501,1286.43,-34.6328,391.642,1085.17,-55.1302,326.657,1013.46,-7.78632,243.283,849.75,-50.9112,299.996,831.828,-45.1307,218.096,770.64,359.451,247.09,1003.96,89.8646,237.47,1004.13,252.715,429.786,1016.5,171.269,424.872,1014.55,404.394,314.786,670.254,398.963,351.676,509.278,398.368,390.841,256.418,371.92,388.524,72.7027,318.301,431.358,61.2895,369.92,226.952,39.3646,39.6119,272.584,729.673,54.3384,330.922,502.525,40.9553,357.236,388.734,83.4188,381.635,69.8258,144.269,424.976,54.1971,82.3296,216.422,34.6771
2593,0,300.585,313.142,1715.27,147.524,275.749,1719.94,284.107,427.204,1708.37,132.078,399.942,1717.56,214.477,445.614,1518.07,,,,227.704,494.194,1236.48,235.074,257.551,1274.06,138.54,492.478,1425.79,421.196,379.124,1477.86,476.349,358.414,1232.76,495.805,368.646,1101.68,484.059,283.146,969.11,443.125,242.27,863.677,494.854,293.459,848.638,479.39,220.661,782.565,50.5825,400.498,1475.66,-14.5622,365.677,1286.38,-34.5486,391.652,1085.17,-55.0139,326.692,1013.45,-7.65438,243.389,849.727,-50.8042,300.066,831.809,-44.9685,218.372,770.551,359.466,247.252,1003.85,89.7445,237.436,1004.11,252.664,429.402,1016.18,171.191,424.96,1014.53,404.341,314.723,670.287,398.96,351.623,509.315,398.378,390.798,256.424,371.9,388.509,72.6592,318.263,431.313,61.1915,369.91,226.953,39.3425,39.5313,272.512,729.686,54.2661,330.982,502.49,40.921,357.229,388.728,83.412,381.67,69.838,144.24,424.954,54.1807,82.2848,216.401,34.4058
2594,0,300.701,313.302,1715.25,147.518,275.981,1720,284.23,427.353,1708.29,132.183,400.153,1717.55,214.518,445.678,1518.01,,,,227.594,494.223,1236.52,234.986,257.523,1274.06,138.587,491.751,1425.44,421.289,379.134,1477.77,476.24,358.523,1232.65,495.751,368.91,1101.49,483.856,283.187,969.008,442.883,242.262,863.613,494.564,293.494,848.54,479.113,220.653,782.476,51.136,400.407,1474.97,-14.5455,365.639,1286.44,-34.4722,391.702,1085.17,-54.9247,326.763,1013.43,-7.59739,243.696,849.644,-50.7007,300.168,831.784,-44.8649,218.334,770.632,359.237,246.964,1003.93,89.6596,237.447,1004.12,252.735,429.257,1016.14,171.136,424.887,1014.53,404.262,314.685,670.283,398.889,351.594,509.315,398.373,390.778,256.42,371.895,388.487,72.6862,318.238,431.366,61.3083,369.913,226.936,39.355,39.8119,272.059,729.769,54.2411,331.391,502.234,40.8622,357.238,388.714,83.3671,381.662,69.8121,144.239,424.957,54.1921,82.297,216.414,34.6383
2595,0,300.747,313.514,1715.24,147.553,276.212,1720.09,284.259,427.722,1708.32,132.27,400.345,1717.54,214.575,445.809,1517.97,,,,227.651,494.336,1236.42,235.004,257.514,1274.1,138.559,492.719,1425.79,421.387,379.472,1477.72,476.209,358.581,1232.57,495.588,368.81,1101.48,483.67,283.198,968.923,442.646,242.256,863.545,494.288,293.484,848.452,478.841,220.659,782.415,50.5989,400.634,1475.7,-14.5311,365.685,1286.48,-34.4274,391.746,1085.2,-54.8281,326.83,1013.42,-7.39328,243.473,849.735,-50.5999,300.313,831.797,-44.7744,218.476,770.572,359.166,246.931,1003.91,89.5165,237.438,1004.11,253.116,430.472,1016.19,171.119,424.888,1014.51,404.185,314.628,670.293,398.83,351.548,509.315,398.378,390.789,256.438,371.91,388.485,72.7016,318.23,431.318,61.2185,369.806,226.91,39.3897,39.709,272.051,729.748,54.1711,330.961,502.462,40.8252,357.212,388.71,83.3768,381.649,69.7906,144.263,424.977,54.2158,82.3035,216.427,34.6329
2596,0,300.827,313.668,1715.24,148.129,276.365,1720.11,284.472,427.66,1708.16,132.355,400.591,1717.53,214.694,446.331,1518.12,,,,227.568,494.343,1236.42,234.975,257.537,1274.13,138.586,491.999,1425.42,421.391,379.441,1477.52,476.154,358.69,1232.48,495.397,368.794,1101.37,483.482,283.22,968.861,442.402,242.212,863.52,494.042,293.495,848.383,478.542,220.634,782.359,51.1467,400.543,1475.04,-14.4828,365.735,1286.47,-34.3303,391.828,1085.19,-54.7377,326.89,1013.41,-7.35699,243.637,849.682,-50.5056,300.441,831.785,-44.6817,218.686,770.557,359.062,246.853,1003.92,89.4091,237.435,1004.14,252.576,429.201,1016.15,171.08,424.87,1014.49,404.097,314.528,670.301,398.811,351.61,509.315,398.356,390.774,256.435,371.869,388.571,72.5691,318.255,431.299,61.2227,369.803,226.924,39.4172,39.2891,272.457,729.698,54.1496,331.412,502.197,40.7707,357.203,388.695,83.3837,381.683,69.809,144.258,424.98,54.2159,82.2946,216.44,34.6242
2597,0,300.817,313.882,1715.29,147.706,276.7,1720.16,284.586,427.843,1708.08,132.43,400.828,1717.51,214.686,446.094,1517.87,,,,227.672,494.901,1236.47,234.974,257.573,1274.17,138.594,492.122,1425.39,421.318,379.532,1477.58,476.134,358.798,1232.4,495.383,369.055,1101.17,483.296,283.192,968.783,442.191,242.214,863.482,493.811,293.512,848.288,478.268,220.611,782.324,51.1748,400.609,1475.09,-14.4402,365.824,1286.47,-34.2675,391.804,1085.21,-54.6462,326.996,1013.41,-7.24777,243.643,849.726,-50.3871,300.581,831.78,-44.5776,218.814,770.528,358.95,246.784,1003.91,89.2951,237.457,1004.15,252.526,429.244,1016.15,170.989,424.838,1014.47,404.001,314.503,670.279,398.769,351.612,509.354,398.32,390.773,256.43,371.871,388.521,72.6448,318.228,431.419,61.3305,369.785,226.905,39.4264,39.2155,272.379,729.714,54.1042,331.412,502.181,40.7453,357.197,388.688,83.384,381.674,69.7892,144.227,424.959,54.2279,82.2756,216.416,34.6288
2598,0,300.899,314.04,1715.26,147.743,276.979,1720.19,284.669,427.973,1708.02,132.537,401.044,1717.45,214.737,446.219,1517.82,,,,227.651,494.908,1236.41,234.946,257.55,1274.15,138.624,492.256,1425.35,421.38,379.667,1477.52,476.084,358.879,1232.33,495.198,368.907,1101.17,483.113,283.182,968.726,442.125,242.294,863.364,493.566,293.446,848.232,478.01,220.586,782.263,51.2176,400.657,1475.03,-14.4095,365.855,1286.47,-34.1748,391.921,1085.21,-54.5607,327.052,1013.39,-7.30506,244.054,849.595,-50.2876,300.701,831.746,-44.5304,218.983,770.503,358.871,246.755,1003.9,89.187,237.456,1004.17,252.503,429.203,1016.07,170.953,424.821,1014.44,403.937,314.397,670.278,398.715,351.549,509.31,398.32,390.791,256.449,371.862,388.507,72.6726,318.235,431.335,61.2521,369.872,226.947,39.3894,39.1451,272.414,729.724,54.0234,331.35,502.175,40.7066,357.217,388.682,83.3685,381.693,69.7822,144.25,424.969,54.2416,82.2812,216.441,34.6157
2599,0,300.617,314.21,1715.27,147.739,277.194,1720.22,284.258,428.364,1708.07,132.246,401.204,1717.43,214.516,446.232,1517.77,,,,227.148,494.748,1236.34,234.937,257.597,1274.18,138.003,492.093,1425.29,421.243,379.738,1477.47,475.829,358.891,1232.23,494.986,369.122,1100.97,482.94,283.17,968.669,441.876,242.238,863.329,493.235,293.425,848.14,477.701,220.516,782.222,51.103,401.21,1474.89,-14.4244,365.905,1286.48,-34.4149,391.828,1085.21,-54.639,327.198,1013.37,-7.24413,244.071,849.583,-50.3319,300.753,831.777,-44.4906,219.136,770.453,358.763,246.681,1003.91,89.0908,237.495,1004.17,251.98,430.32,1016.42,170.526,424.693,1014.38,403.678,314.312,670.229,398.505,351.596,509.328,398.171,390.82,256.421,371.743,388.528,72.6232,317.981,431.369,61.3305,369.791,226.919,39.4292,39.0416,272.442,729.709,53.7401,330.887,502.461,40.4101,357.207,388.696,83.1524,381.666,69.7844,144.152,424.977,54.2582,82.1679,216.484,34.5701
2600,0,300.969,314.353,1715.27,147.691,277.413,1720.27,284.81,428.243,1707.91,132.681,401.569,1717.37,214.807,446.409,1517.72,,,,227.594,494.999,1236.32,234.928,257.698,1274.14,138.675,492.396,1425.27,421.533,379.843,1477.29,476.003,359.014,1232.19,495.046,369.174,1100.92,482.78,283.203,968.598,441.484,242.134,863.362,493.091,293.364,848.099,477.443,220.471,782.186,51.3511,401.427,1474.87,-14.3222,365.99,1286.48,-34.0161,391.987,1085.2,-54.4217,327.201,1013.38,-7.19264,244.161,849.575,-50.13,300.962,831.721,-44.4535,219.272,770.402,358.687,246.657,1003.9,88.9487,237.508,1004.17,252.211,429.221,1016.07,170.868,424.816,1014.39,403.807,314.294,670.273,398.633,351.535,509.352,398.299,390.788,256.474,371.858,388.512,72.6518,318.23,431.323,61.2759,369.779,226.925,39.4238,39.0278,272.422,729.715,53.9038,331.109,502.238,40.6278,357.223,388.645,83.386,381.694,69.7691,144.296,425.006,54.139,82.2593,216.463,34.6103
2601,0,300.916,314.575,1715.24,147.69,277.659,1720.33,284.896,428.554,1707.93,132.742,401.823,1717.32,214.873,446.542,1517.68,,,,227.556,494.782,1236.16,234.895,257.655,1274.2,138.684,492.535,1425.27,421.48,379.981,1477.25,475.996,359.075,1232.12,494.888,369.029,1100.91,482.634,283.176,968.553,441.264,242.076,863.359,492.895,293.331,848.034,477.164,220.403,782.167,51.2666,401.037,1474.99,-14.3115,366.062,1286.46,-33.9399,392.039,1085.21,-54.3499,327.275,1013.36,-7.1631,244.214,849.552,-50.0559,301.104,831.697,-44.4444,219.394,770.387,358.613,246.578,1003.93,88.8834,237.507,1004.16,252.572,430.322,1016.16,170.775,424.895,1014.4,403.762,314.237,670.286,398.613,351.511,509.392,398.29,390.725,256.493,371.853,388.494,72.698,318.213,431.405,61.3881,369.766,226.921,39.3892,38.9605,272.376,729.725,53.8667,331.067,502.218,40.6121,357.154,388.631,83.351,381.657,69.7486,144.264,424.995,54.2471,82.2469,216.441,34.645
2602,0,300.998,314.698,1715.33,147.693,277.909,1720.32,284.998,428.748,1707.86,132.854,402.033,1717.28,214.907,446.666,1517.64,,,,227.546,494.815,1236.11,234.908,257.616,1274.27,138.7,492.677,1425.28,421.559,379.965,1477.19,475.991,359.163,1232.06,494.792,369.072,1100.84,482.468,283.154,968.519,441.063,242.062,863.333,492.652,293.302,847.983,476.91,220.327,782.146,51.2851,401.072,1475.04,-14.2884,366.145,1286.46,-33.857,392.124,1085.17,-54.0794,327.111,1013.3,-7.1657,244.291,849.494,-49.98,301.258,831.679,-44.4391,219.489,770.356,358.519,246.593,1003.91,88.7741,237.5,1004.17,252.167,429.204,1015.99,170.735,424.799,1014.36,403.717,314.182,670.285,398.564,351.465,509.385,398.278,390.683,256.498,371.829,388.483,72.6115,318.214,431.396,61.4241,369.776,226.907,39.4379,38.8897,272.403,729.714,53.8571,331.029,502.236,40.6167,357.135,388.65,83.3662,381.686,69.7559,144.277,424.985,54.2661,82.2559,216.44,34.6559
